,Symbol,Name
0,BTC-CAD,Bitcoin Canadian Dollar.
1,BTC-USD,Bitcoin and the United States dollar
2,BTC=F,Bitcoin Futures
3,BITO,ProShares Bitcoin Strategy ETF
4,MBT=F,Micro Bitcoin Futures
5,ETH-USD,Ethereum USD
6,USDT-USD,Tether USDt USD
7,SOL-USD,Solana USD
8,ADA-USD,Cardano USD
9,STETH-USD,Lido Staked ETH USD
10,AVAX-USD,Avalanche USD
11,DOGE-USD,Dogecoin USD
12,DOT-USD,Polkadot USD
13,WTRX-USD,Wrapped TRON USD
14,MATIC-USD,Polygon USD
15,TON11419-USD,Toncoin USD
16,SHIB-USD,Shiba Inu USD
17,LTC-USD,Litecoin USD
18,DAI-USD,Dai USD
19,WEOS-USD,Wrapped EOS USD
20,ATOM-USD,Cosmos USD
21,NEAR-USD,NEAR Protocol USD
23,BNB-USD,BNB USD
24,XRP-USD,XRP USD
